position,team,points,played,won,drawn,lost,goals_for,goals_against,goal_difference
1,FC Barcelona,18,6,6,0,0,22,5,+17
2,Real Madrid,14,6,4,2,0,13,3,+10
3,Atlético de Madrid,12,6,3,3,0,10,3,+7
4,Villarreal CF,11,6,3,2,1,12,13,-1
5,Athletic Club,10,6,3,1,2,9,7,+2
6,Deportivo Alavés,10,6,3,1,2,9,7,+2
7,CA Osasuna,10,6,3,1,2,8,11,-3
8,RC Celta,9,6,3,0,3,14,13,+1
9,Rayo Vallecano,8,6,2,2,2,8,7,+1
10,Real Betis,8,6,2,2,2,6,6,0
11,RCD Mallorca,8,6,2,2,2,5,5,0
12,Girona FC,7,6,2,1,3,8,10,-2
13,RCD Espanyol de Barcelona,7,6,2,1,3,6,9,-3
14,CD Leganés,6,6,1,3,2,4,6,-2
15,Sevilla FC,5,6,1,2,3,5,8,-3
16,Real Sociedad,5,6,1,2,3,3,6,-3
17,Real Valladolid CF,5,6,1,2,3,2,13,-11
18,Getafe CF,4,6,0,4,2,3,5,-2
19,Valencia CF,4,6,1,1,4,5,10,-5
20,UD Las Palmas,2,6,0,2,4,7,12,-5
