position,team,points,played,won,drawn,lost,goals_for,goals_against,goal_difference
1,FC Barcelona,33,13,11,0,2,40,12,+28
2,Real Madrid,27,12,8,3,1,25,11,+14
3,Atlético de Madrid,26,13,7,5,1,19,7,+12
4,Villarreal CF,24,12,7,3,2,23,19,+4
5,CA Osasuna,21,13,6,3,4,17,20,-3
6,Athletic Club,20,13,5,5,3,19,13,+6
7,Real Betis,20,13,5,5,3,14,12,+2
8,Real Sociedad,18,13,5,3,5,11,10,+1
9,RCD Mallorca,18,13,5,3,5,10,10,0
10,Girona FC,18,13,5,3,5,16,17,-1
11,RC Celta,17,13,5,2,6,20,22,-2
12,Rayo Vallecano,16,12,4,4,4,13,13,0
13,Sevilla FC,15,13,4,3,6,12,18,-6
14,CD Leganés,14,13,3,5,5,13,16,-3
15,Deportivo Alavés,13,13,4,1,8,14,22,-8
16,UD Las Palmas,12,13,3,3,7,16,22,-6
17,Getafe CF,10,13,1,7,5,8,11,-3
18,RCD Espanyol de Barcelona,10,12,3,1,8,11,22,-11
19,Real Valladolid CF,9,13,2,3,8,10,25,-15
20,Valencia CF,7,11,1,4,6,8,17,-9
