position,team,points,played,won,drawn,lost,goals_for,goals_against,goal_difference
1,RC Celta,6,2,2,0,0,5,2,+3
2,FC Barcelona,6,2,2,0,0,4,2,+2
3,Atlético de Madrid,4,2,1,1,0,5,2,+3
4,Real Madrid,4,2,1,1,0,4,1,+3
5,Villarreal CF,4,2,1,1,0,4,3,+1
6,CD Leganés,4,2,1,1,0,3,2,+1
7,CA Osasuna,4,2,1,1,0,2,1,+1
8,Rayo Vallecano,4,2,1,1,0,2,1,+1
9,Real Sociedad,3,2,1,0,1,2,2,0
10,Real Valladolid CF,3,2,1,0,1,1,3,-2
11,Real Betis,2,2,0,2,0,1,1,0
12,Getafe CF,2,2,0,2,0,1,1,0
13,Sevilla FC,1,2,0,1,1,3,4,-1
14,UD Las Palmas,1,2,0,1,1,3,4,-1
15,Athletic Club,1,2,0,1,1,2,3,-1
16,RCD Mallorca,1,2,0,1,1,1,2,-1
17,Deportivo Alavés,1,2,0,1,1,1,2,-1
18,Girona FC,1,2,0,1,1,1,4,-3
19,RCD Espanyol de Barcelona,0,2,0,0,2,0,2,-2
20,Valencia CF,0,2,0,0,2,2,5,-3
