position,team,points,played,won,drawn,lost,goals_for,goals_against,goal_difference
1,FC Barcelona,27,10,9,0,1,33,10,+23
2,Real Madrid,24,10,7,3,0,21,7,+14
3,Atlético de Madrid,20,10,5,5,0,16,6,+10
4,Villarreal CF,18,10,5,3,2,18,18,0
5,Athletic Club,17,10,5,2,3,17,11,+6
6,RCD Mallorca,17,10,5,2,3,10,8,+2
7,Real Betis,15,10,4,3,3,10,9,+1
8,CA Osasuna,15,10,4,3,3,14,16,-2
9,Rayo Vallecano,13,10,3,4,3,11,10,+1
10,RC Celta,13,10,4,1,5,17,17,0
11,Real Sociedad,12,10,3,3,4,8,8,0
12,Girona FC,12,10,3,3,4,11,13,-2
13,Sevilla FC,12,10,3,3,4,10,15,-5
14,Deportivo Alavés,10,10,3,1,6,13,18,-5
15,RCD Espanyol de Barcelona,10,10,3,1,6,10,17,-7
16,Getafe CF,9,10,1,6,3,7,8,-1
17,CD Leganés,8,10,1,5,4,6,12,-6
18,Real Valladolid CF,8,10,2,2,6,8,21,-13
19,UD Las Palmas,6,10,1,3,6,12,19,-7
20,Valencia CF,6,10,1,3,6,7,16,-9
