position,team,points,played,won,drawn,lost,goals_for,goals_against,goal_difference
1,RC Celta,3,1,1,0,0,2,1,+1
2,FC Barcelona,3,1,1,0,0,2,1,+1
3,Rayo Vallecano,3,1,1,0,0,2,1,+1
4,Real Valladolid CF,3,1,1,0,0,1,0,+1
5,Villarreal CF,1,1,0,1,0,2,2,0
6,UD Las Palmas,1,1,0,1,0,2,2,0
7,Sevilla FC,1,1,0,1,0,2,2,0
8,Atlético de Madrid,1,1,0,1,0,2,2,0
9,Girona FC,1,1,0,1,0,1,1,0
10,Getafe CF,1,1,0,1,0,1,1,0
11,CD Leganés,1,1,0,1,0,1,1,0
12,RCD Mallorca,1,1,0,1,0,1,1,0
13,Real Betis,1,1,0,1,0,1,1,0
14,CA Osasuna,1,1,0,1,0,1,1,0
15,Real Madrid,1,1,0,1,0,1,1,0
16,Athletic Club,1,1,0,1,0,1,1,0
17,Deportivo Alavés,0,1,0,0,1,1,2,-1
18,Real Sociedad,0,1,0,0,1,1,2,-1
19,Valencia CF,0,1,0,0,1,1,2,-1
20,RCD Espanyol de Barcelona,0,1,0,0,1,0,1,-1
