position,team,points,played,won,drawn,lost,goals_for,goals_against,goal_difference
1,FC Barcelona,15,5,5,0,0,17,4,+13
2,Atlético de Madrid,11,5,3,2,0,9,2,+7
3,Real Madrid,11,5,3,2,0,9,2,+7
4,Villarreal CF,11,5,3,2,0,11,8,+3
5,RC Celta,9,5,3,0,2,13,10,+3
6,Real Betis,8,5,2,2,1,5,4,+1
7,Rayo Vallecano,7,5,2,1,2,7,6,+1
8,Deportivo Alavés,7,5,2,1,2,7,6,+1
9,Girona FC,7,5,2,1,2,8,8,0
10,Athletic Club,7,5,2,1,2,6,6,0
11,RCD Espanyol de Barcelona,7,5,2,1,2,5,5,0
12,CA Osasuna,7,5,2,1,2,6,10,-4
13,RCD Mallorca,5,5,1,2,2,3,4,-1
14,Sevilla FC,5,5,1,2,2,4,6,-2
15,CD Leganés,5,5,1,2,2,3,5,-2
16,Real Sociedad,4,5,1,1,3,3,6,-3
17,Real Valladolid CF,4,5,1,1,3,2,13,-11
18,Getafe CF,3,5,0,3,2,2,4,-2
19,UD Las Palmas,2,5,0,2,3,6,10,-4
20,Valencia CF,1,5,0,1,4,3,10,-7
