position,team,points,played,won,drawn,lost,goals_for,goals_against,goal_difference
1,FC Barcelona,9,3,3,0,0,6,3,+3
2,Villarreal CF,7,3,2,1,0,8,6,+2
3,RC Celta,6,3,2,0,1,8,6,+2
4,Atlético de Madrid,5,3,1,2,0,5,2,+3
5,Real Madrid,5,3,1,2,0,5,2,+3
6,Real Betis,5,3,1,2,0,3,2,+1
7,CD Leganés,5,3,1,2,0,3,2,+1
8,Girona FC,4,3,1,1,1,5,4,+1
9,Rayo Vallecano,4,3,1,1,1,3,3,0
10,Deportivo Alavés,4,3,1,1,1,3,3,0
11,Athletic Club,4,3,1,1,1,3,3,0
12,Real Valladolid CF,4,3,1,1,1,1,3,-2
13,CA Osasuna,4,3,1,1,1,2,5,-3
14,Real Sociedad,3,3,1,0,2,3,4,-1
15,UD Las Palmas,2,3,0,2,1,4,5,-1
16,Sevilla FC,2,3,0,2,1,3,4,-1
17,Getafe CF,2,3,0,2,1,2,3,-1
18,RCD Mallorca,2,3,0,2,1,1,2,-1
19,RCD Espanyol de Barcelona,1,3,0,1,2,0,2,-2
20,Valencia CF,0,3,0,0,3,2,6,-4
